
g = 7
  70.  a-seq=[0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1]  a-number=4  type-seq=[1, 1, 1, 1, 1, 1, 2, 2, 3, 3, 3, 4, 4, 5, 5, 6, 6, 9, 12, 13, 13]  sum=96  Isog=[3, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1]
  71.  a-seq=[0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1]  a-number=4  type-seq=[1, 1, 1, 1, 1, 1, 2, 2, 3, 3, 4, 4, 4, 5, 6, 6, 8, 10, 10, 11, 13]  sum=97  Isog=[3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1]
  72.  a-seq=[0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 4, 5, 5, 6, 6, 8, 8, 9, 12, 13]  sum=97  Isog=[3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1]
  73.  a-seq=[0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1]  a-number=4  type-seq=[1, 1, 1, 1, 1, 1, 2, 2, 3, 3, 4, 4, 5, 6, 6, 7, 8, 8, 10, 11, 13]  sum=98  Isog=[3, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1]
  74.  a-seq=[0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 2, 2, 3, 3, 4, 5, 6, 6, 7, 8, 8, 8, 9, 10, 12, 13]  sum=113  Isog=[4, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1]
  75.  a-seq=[0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1]  a-number=2  type-seq=[1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 6, 11, 12, 13]  sum=96  Isog=[3, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1]
  76.  a-seq=[0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 2, 2, 3, 3, 4, 4, 4, 4, 4, 5, 5, 6, 9, 10, 12, 13]  sum=97  Isog=[3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1]
  77.  a-seq=[0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 6, 8, 9, 11, 13, 13, 13]  sum=112  Isog=[3, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1]
  78.  a-seq=[0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 6, 8, 9, 11, 13, 13, 13]  sum=112  Isog=[3, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1]
  79.  a-seq=[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1]  a-number=4  type-seq=[1, 1, 1, 1, 1, 1, 2, 3, 3, 3, 4, 4, 5, 5, 6, 7, 8, 9, 10, 11, 13]  sum=99  Isog=[3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1]
